imagen_path,departamento,fecha_procesamiento,AP,APB SÚMATE,CODIGO MESA,ELECTORES HABILITADOS,FP,LIBRE,LYP ADN,MAS-IPSP,MESA,MORENA,PAPELETAS EN ÁNFORA,PAPELETAS NO UTILIZADAS,PDC,UNIDAD,VOTOS BLANCOS,VOTOS NULOS,VOTOS VÁLIDOS
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_2_101964.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 030,APB SÚMATE 007,6,3,FP 003,LIBRE 004,LYP ADN 001,MAS-IPSP 003,2,MORENA 003,28,8,PDC 024,UNIDAD 003,0,78,79
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_1_101954.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP A3,APB SÚMATE 005,1,3,FP A3,LIBRE ABHESIVO DE SEGUARDAD PARANGEA,LYP ADN MESA:1,MAS-IPSP A3,1,MORENA AMERICAN,29,29,PDC MESA 1,UNIDAD MESA 1,,29,29
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_7_102044.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 028,APB SÚMATE 028,7,28,FP 004,LIBRE 028,LYP ADN 028,MAS-IPSP 002,7,MORENA 028,28,28,PDC 026,UNIDAD 005,25,59,74
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_13_102014.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 025,APB SÚMATE 001,13,3,FP 001,LIBRE 0.25,LYP ADN 025,MAS-IPSP 001,13,MORENA 17 00,25,21,PDC 0.8,UNIDAD 0.9,0,71,71
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_6_102004.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 0.76,APB SÚMATE 08 40,6,3,FP 0.76,LIBRE 0.9,LYP ADN 0.76,MAS-IPSP 08 40,6,MORENA 08 40,76,76,PDC 024,UNIDAD 007,76,76,76
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_9_102064.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 020,APB SÚMATE 08 23,9,,FP 003,LIBRE 0.29,LYP ADN AP,MAS-IPSP 001,9,MORENA 08 23,74,79,PDC 025,UNIDAD 006,4,63,14
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_8_102054.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP APB SOMATE,APB SÚMATE 5,8,3,FP 4,LIBRE 3,LYP ADN APB SOMATE,MAS-IPSP 3,8,MORENA 17,,117,PDC 28,UNIDAD 7,5,60,78
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)/mesa_14_102024.jpg,Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137),,AP 021,APB SÚMATE 08 43,14,,FP 000,LIBRE 08 43,LYP ADN MESA,MAS-IPSP 004,14,MORENA 485,435,485,PDC 020,UNIDAD 00,0,80,80
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_7_100084.jpg,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,,AP 014,APB SÚMATE MESA: 7,,3,FP 000,LIBRE 0.23,LYP ADN 003,MAS-IPSP 003,7,MORENA 7,708,212,PDC 013,UNIDAD 019,1,28,79
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_5_100064.jpg,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,,AP 005,APB SÚMATE 006,,,FP 001,LIBRE 0.25,LYP ADN MESA: 5,MAS-IPSP 003,5,MORENA 0.25,102,248,PDC 023,UNIDAD 0.9,5,25,72
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_3_100044.jpg,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,,AP 0.14,APB SÚMATE MOSA: 3,,3,FP 0 8 00,LIBRE 0.2.0,LYP ADN 002,MAS-IPSP 002,3,MORENA 770,770,770,PDC 017,UNIDAD 015,1,33,76
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_4_100054.jpg,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,,AP 0 1,APB SÚMATE MOS-IPSP,,3,FP 000,LIBRE 0.28,LYP ADN AP,MAS-IPSP 0 0 4,4,MORENA 7000,8,208,PDC 008,UNIDAD 017,4,27,81
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_9_100104.jpg,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,,AP 0 1,APB SÚMATE MOSA: 9,,28,FP 002,LIBRE 025,LYP ADN APB SOMATE,MAS-IPSP 002,9,MORENA 0 1,83,213,PDC 013,UNIDAD 015,0,28,80
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_1_100024.jpg,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,,AP 011,APB SÚMATE 0 1,1,3,FP 003,LIBRE 0 1,LYP ADN APB SUMATE,MAS-IPSP 002,1,MORENA 0 1,95,206,PDC 015,UNIDAD 020,4,13,96
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_10_100114.jpg,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,,AP 014,APB SÚMATE 081,,3,FP 081,LIBRE 031,LYP ADN APB SUMATE,MAS-IPSP 003,10,MORENA 081,106,106,PDC 014,UNIDAD 011,3,21,83
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_6_100074.jpg,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,,AP 0 9,APB SÚMATE 005,,3,FP 006,LIBRE 0 3,LYP ADN 003,MAS-IPSP 0 0 1,6,MORENA 0.8,28,205,PDC 0 18,UNIDAD 014,0,27,88
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_2_100034.jpg,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,,AP A3,APB SÚMATE 006,900,3,FP 003,LIBRE 034,LYP ADN 00 2,MAS-IPSP 002,900,MORENA 7000,107,213,PDC 015,UNIDAD 014,1,22,89
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_8_100094.jpg,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,,AP 015,APB SÚMATE 003,,3,FP 002,LIBRE 025,LYP ADN 08 10,MAS-IPSP 004,8,MORENA 0810,83,810,PDC 0.15,UNIDAD 021,3,23,80
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria Nº6 Juan Domingo Peron/mesa_1_103334.jpg,Escuela Secundaria Nº6 Juan Domingo Peron,,AP 018,APB SÚMATE 006,,3,FP 003,LIBRE 08.00,LYP ADN 0001,MAS-IPSP 080,1,MORENA 018,379,229,PDC 040,UNIDAD 003,2,40,48
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria Nº6 Juan Domingo Peron/mesa_7_103394.jpg,Escuela Secundaria Nº6 Juan Domingo Peron,,AP 013,APB SÚMATE 00 7,7,3,FP 003,LIBRE 004,LYP ADN 0830,MAS-IPSP 005,7,MORENA 7,13,83,PDC 0.9,UNIDAD 00 2,8,58,44
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria Nº6 Juan Domingo Peron/mesa_6_103384.jpg,Escuela Secundaria Nº6 Juan Domingo Peron,,AP LINDA,APB SÚMATE LINDA,,3,FP 003,LIBRE 004,LYP ADN APB SUMATE,MAS-IPSP 003,6,MORENA 017,3,0,PDC 014,UNIDAD 003,5,48,5
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria Nº6 Juan Domingo Peron/mesa_2_103344.jpg,Escuela Secundaria Nº6 Juan Domingo Peron,,AP 012,APB SÚMATE 002,10,3,FP 003,LIBRE 004,LYP ADN 001,MAS-IPSP 003,2,MORENA 0.12,101,219,PDC 0.12,UNIDAD 002,5,52,44
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria Nº6 Juan Domingo Peron/mesa_3_103354.jpg,Escuela Secundaria Nº6 Juan Domingo Peron,,AP 079,APB SÚMATE 004,,,FP 0.36,LIBRE 0 4,LYP ADN 004,MAS-IPSP 004,3,MORENA 0.9,93,93,PDC 076,UNIDAD 003,5,36,52
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria Nº6 Juan Domingo Peron/mesa_4_103364.jpg,Escuela Secundaria Nº6 Juan Domingo Peron,,AP 020,APB SÚMATE 003,3364,3,FP 003,LIBRE 020,LYP ADN 003,MAS-IPSP 004,4,MORENA 0 2 1 6,45,48,PDC 008,UNIDAD 0 06,5,48,57
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria Nº6 Juan Domingo Peron/mesa_5_103374.jpg,Escuela Secundaria Nº6 Juan Domingo Peron,,AP 79,APB SÚMATE MOSA: 5,5,3,FP 003,LIBRE 00 2,LYP ADN 00,MAS-IPSP 300,5,MORENA 796,94,94,PDC 014,UNIDAD 001,900,460,46
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Secundaria Nº6 Juan Domingo Peron/mesa_8_103404.jpg,Escuela Secundaria Nº6 Juan Domingo Peron,,AP 012,APB SÚMATE 0.9,8,3,FP 008,LIBRE 004,LYP ADN 004,MAS-IPSP 003,8,MORENA 0 9,99,9,PDC 049,UNIDAD 007,1,53,55
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 3 Jose Manuel Estrada/mesa_8_101894.jpg,Esc Primaria Nro 3 Jose Manuel Estrada,,AP 021,APB SÚMATE 002,8,,FP 004,LIBRE 021,LYP ADN 001,MAS-IPSP 003,8,MORENA 021,36,800,PDC 014,UNIDAD 014,3,36,100
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 3 Jose Manuel Estrada/mesa_1_101904.jpg,Esc Primaria Nro 3 Jose Manuel Estrada,,AP 024,APB SÚMATE 024,1,3,FP 005,LIBRE 024,LYP ADN APB SOMATE,MAS-IPSP 002,1,MORENA 014,24,14,PDC 040,UNIDAD 007,4,40,65
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 3 Jose Manuel Estrada/mesa_5_101944.jpg,Esc Primaria Nro 3 Jose Manuel Estrada,,AP 0.75,APB SÚMATE 0.75,5,3,FP 003,LIBRE 003,LYP ADN MESA: 5,MAS-IPSP 006,5,MORENA 0.75,75,15,PDC 0.19,UNIDAD 006,3,67,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 3 Jose Manuel Estrada/mesa_2_101914.jpg,Esc Primaria Nro 3 Jose Manuel Estrada,,AP 009,APB SÚMATE 001,2,3,FP 005,LIBRE 005,LYP ADN 001,MAS-IPSP 004,2,MORENA 0 9 3,93,93,PDC 073,UNIDAD 007,5,42,47
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 3 Jose Manuel Estrada/mesa_7_101884.jpg,Esc Primaria Nro 3 Jose Manuel Estrada,,AP 020,APB SÚMATE 003,7,3,FP 003,LIBRE 0.9,LYP ADN MESA: 7,MAS-IPSP 003,7,MORENA 840,15,45,PDC 0.19,UNIDAD 004,4,35,64
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 3 Jose Manuel Estrada/mesa_3_101924.jpg,Esc Primaria Nro 3 Jose Manuel Estrada,,AP 0 45,APB SÚMATE 006,3,3,FP 003,LIBRE 0 4,LYP ADN AP,MAS-IPSP 0 0 4,3,MORENA 0.45,99,99,PDC 016,UNIDAD 011,2,33,64
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 3 Jose Manuel Estrada/mesa_4_101934.jpg,Esc Primaria Nro 3 Jose Manuel Estrada,,AP 016,APB SÚMATE 004,4,3,FP 004,LIBRE 006,LYP ADN AP,MAS-IPSP 00 2,4,MORENA 0.93%,93,93,PDC 008,UNIDAD 005,0,45,48
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 3 Jose Manuel Estrada/mesa_6_101874.jpg,Esc Primaria Nro 3 Jose Manuel Estrada,,AP 990,APB SÚMATE NOV DART,2010,,FP 990,LIBRE 990,LYP ADN 00,MAS-IPSP WWW.GOV,28,MORENA 200,28,220,PDC WWW.GOV,UNIDAD 990,2020,990,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 16  de 13 Dr. Tomás A. Le Bretón/mesa_2_101614.jpg,Escuela N° 16  de 13 Dr. Tomás A. Le Bretón,,AP APB SOMATE,APB SÚMATE 08 06,101614,3,FP 001,LIBRE 004,LYP ADN APB SOMATE,MAS-IPSP 004,2,MORENA 08 06,5,205,PDC 0.26,UNIDAD 000,2,37,66
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 16  de 13 Dr. Tomás A. Le Bretón/mesa_4_101634.jpg,Escuela N° 16  de 13 Dr. Tomás A. Le Bretón,,AP 0.98,APB SÚMATE 002,4,3,FP 08 05,LIBRE 004,LYP ADN 001,MAS-IPSP 002,4,MORENA 0.99,99,99,PDC 019,UNIDAD 004,0,48,99
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 16  de 13 Dr. Tomás A. Le Bretón/mesa_5_101644.jpg,Escuela N° 16  de 13 Dr. Tomás A. Le Bretón,,AP 015,APB SÚMATE 0.8,5,6,FP 001,LIBRE 080,LYP ADN 080,MAS-IPSP 080,5,MORENA 080,80,88,PDC 025,UNIDAD 003,29,29,88
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 16  de 13 Dr. Tomás A. Le Bretón/mesa_3_101624.jpg,Escuela N° 16  de 13 Dr. Tomás A. Le Bretón,,AP 0.18,APB SÚMATE 0 8,3,3,FP 08.00,LIBRE 0.18,LYP ADN 018,MAS-IPSP 003,3,MORENA 0.18,28,28,PDC 0.27,UNIDAD 0.26,48,48,64
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 16  de 13 Dr. Tomás A. Le Bretón/mesa_1_101604.jpg,Escuela N° 16  de 13 Dr. Tomás A. Le Bretón,,AP 020,APB SÚMATE MOSA:1,1,3,FP 006,LIBRE 020,LYP ADN MESA,MAS-IPSP 001,1,MORENA 020,168,208,PDC 026,UNIDAD 00 7,2,38,72
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_2_100364.jpg,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,,AP 0 26,APB SÚMATE 0.26,,6,FP 006,LIBRE 0.26,LYP ADN 002,MAS-IPSP 002,2,MORENA 740,740,740,PDC 036,UNIDAD 006,2,42,96
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_4_100384.jpg,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,,AP 800,APB SÚMATE NOV 4,890,,"FP APRIL 2004, 1999",LIBRE A,LYP ADN TV8E001,MAS-IPSP WWW.GOV,890,MORENA 500,0,86,PDC 00,UNIDAD DAVIS,,890,4
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_9_100434.jpg,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,,AP 077,APB SÚMATE 09 00,9,3,FP 0.2,LIBRE 006,LYP ADN APS COMATE,MAS-IPSP 002,9,MORENA 774,774,7769,PDC 020,UNIDAD 008,6,38,70
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_3_100374.jpg,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,,AP 0 1,APB SÚMATE 0820,3,3,FP 0820,LIBRE 0 1,LYP ADN 0820,MAS-IPSP 001,3,MORENA 17 20,1720,202,PDC 031,UNIDAD 009,2,37,79
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_1_100354.jpg,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,,AP 021,APB SÚMATE 08.00,,3,FP 0.28,LIBRE 0.21,LYP ADN APB SOMATE,MAS-IPSP 0 8 00,1,MORENA APB SOMATE,83,195,PDC 0 28,UNIDAD 0.26,4,43,78
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_8_100424.jpg,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,,AP 0.19,APB SÚMATE 002,800,3,FP 002,LIBRE 006,LYP ADN 002,MAS-IPSP 001,8,MORENA 0.19,109,21,PDC 028,UNIDAD 040,2,38,69
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_7_100414.jpg,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,,AP 024,APB SÚMATE 0.24,7,3,FP 006,LIBRE 005,LYP ADN 002,MAS-IPSP 001,7,MORENA 024,415,205,PDC 034,UNIDAD 010,2,30,83
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_5_100394.jpg,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,,AP 024,APB SÚMATE 0.24,5,3,FP 005,LIBRE 0.9,LYP ADN AP,MAS-IPSP 00 2,5,MORENA AP,135,195,PDC 030,UNIDAD 003,3,39,83
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_6_100404.jpg,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,,AP 026,APB SÚMATE 0.26,6,3,FP 004,LIBRE 004,LYP ADN 00,MAS-IPSP 001,6,MORENA 026,24,800,PDC 020,UNIDAD 014,3,56,19
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_4_103014.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP APB COMATE,APB SÚMATE MOSA 4,4,3,FP 00,LIBRE 00 00,LYP ADN APB SUMATE,MAS-IPSP 0.37,4,MORENA 728,664,428,PDC 037,UNIDAD 003,52,66,680
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_6_103034.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP 0,APB SÚMATE 08.00,6,3,FP 08.00,LIBRE 08.00,LYP ADN 08.00,MAS-IPSP 000,6,MORENA 08.00,728,192,PDC 017,UNIDAD 001,,0,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_2_102994.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP 0 1 7,APB SÚMATE MESA: 2,2,,FP 08.00,LIBRE 001,LYP ADN MESA: 2,MAS-IPSP 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,MORENA 1,7,795,PDC 018,UNIDAD 00 6,61,61,62
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_3_103004.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP 0.28,APB SÚMATE MOSA: 3,3,3,FP 000,LIBRE 0.23,LYP ADN 0.23,MAS-IPSP 0.92,3,MORENA 0.23,740,30,PDC 027,UNIDAD 005,3,987,66
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_11_103084.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP 018,APB SÚMATE 010,11,3,FP 004,LIBRE 005,LYP ADN AP,MAS-IPSP 003,11,MORENA 018,129,19,PDC 016,UNIDAD 004,2,64,129
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_9_103064.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP 500,APB SÚMATE 770,770,,FP 00,LIBRE EHB,LYP ADN TV 90EOL,MAS-IPSP WWW.GOV,700,MORENA 770,770,0,PDC 610,UNIDAD 00,,770,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_5_103024.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP AP,APB SÚMATE 006,5,3,FP 004,LIBRE 0 9 0,LYP ADN AP,MAS-IPSP 000,5,MORENA 0.2,32,203,PDC 004,UNIDAD 004,2,63,154
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_1_102984.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP OEP,APB SÚMATE MESA 1,1,3,FP 2,LIBRE 0900,LYP ADN MESA,MAS-IPSP 4,900,MORENA 486,4630,4,PDC 20,UNIDAD 4630,67,60,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_7_103044.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP 018,APB SÚMATE 005,7,3,FP 005,LIBRE 004,LYP ADN 001,MAS-IPSP 00 2,7,MORENA 1 8 6,83,186,PDC 027,UNIDAD 003,4,69,66
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_10_103074.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP 018,APB SÚMATE 0 1,,3,FP 0 1 1 0,LIBRE 004,LYP ADN 018,MAS-IPSP 003,10,MORENA 0 1 1,21,200,PDC 014,UNIDAD 001,71,71,74
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_8_103054.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP 012,APB SÚMATE 0830,8,3,FP 063,LIBRE 004,LYP ADN 003,MAS-IPSP 000,8,MORENA 012,25,83,PDC 022,UNIDAD 008,6,63,58
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_12_103094.jpg,Escuela De Educación Primaria N°16 República Francesa,,AP 005,APB SÚMATE MOS-LSP,12,3,FP 000,LIBRE 005,LYP ADN APB SOMATE,MAS-IPSP 005,12,MORENA 0.31,31,41,PDC 004,UNIDAD 000,0,5,16
